"Super Goatron","S/SUP/super goatron/","28026"
"Super Hyperzap","S/SUP/super hyperzap/","27524"
"Super Mario Bros 64","S/SUP/super mario27687/","27687"
"Supernatural","S/SUPER TAU/supernatural/","23644"
"Synetic","S/SW/synetic/","11909"
"Tacky","T/T/tacky/","27372"
"Taz","T/T/taz/","29980"
"Tenebra Macabre","T/TC/tenebra macabre/","27572"
"Tenebra","T/TC/tenebra/","30201"
"Terradyne Warrior","T/TC/terradyne warrio/","20252"
"Testgame [Preview]","T/TC/testgame [previe/","28394"
"Tetris","T/TC/tetris     24842/","24842"
"Tetris","T/TC/tetris     27218/","27218"
"Tetris","T/TC/tetris     29831/","29831"
"THEA -","T/TF/thea terraheaven/","26305"
"Tiger Claw","T/TI/tiger claw/","25721"
"Tiny Invaders","T/TI/tiny invaders/","29707"
"Tomb Chaser","T/TK/tomb chaser/","27894"
"Tone-Loco","T/TK/tone-loco/","24199"
"Toop","T/TK/toop/","28332"
"Totoro64 [Preview]","T/TK/totoro64 [previe/","30031"
"Trac Troopa","T/TR/trac troopa/","17032"
"T-Rex 64","T/T/t-rex 64/","28690"
"Tubes'n'Balls","T/TU/tubes'n'balls/","28756"
"Tutankham","T/TU/tutankham/","30278"
"Tutti Frutti 64","T/TU/tutti frutti 64/","25738"
"UFO Defense","U/ufo defense/","23628"
"UP - Uncontrolled Platormer","U/up uncontrolled/","27715"
"UWOL - Quest for Money","U/uwol quest for m/","22202"
"Vallation","V/V/vallation/","24795"
"Vault Man II","V/V/vault man ii/","26218"
"Vault Man","V/V/vault man/","21659"
"Vector Runner","V/V/vector runner/","27370"
"Vega","V/V/vega       28357/","28357"
"Velcro","V/V/velcro/","27142"
"Vidball","V/VI/vidball/","24840"
"Vidball XX","V/VI/vidball xx/","29475"
"Voivod Attack","V/VI/voivod attack/","25718"
"VVVVVV","V/VI/vvvvvv/","27105"
"Warpzone Remix","W/W/warpzone remix/","18904"
"Wild Snake Boa","W/WI/wild snake boa/","29755"
"Wiseguys","W/WI/wiseguys/","21634"
"Witch Rescue Service - Smoothly","W/WI/witch rescue ser/","29505"
"Wolfling","W/WO/wolfling/","27472"
"Wonderland","W/WO/wonderland 24139/","24139"
"Xain'D Sleena","X/xain'd sleena/","25325"
"XCB Invaders","X/xcb invaders/","28271"
"You Had One Job","Y/you had one job/","28351"
"You Have to Win the Game","Y/you have to win/","24155"
"Your Father's Nightmare","Y/your father's ni/","25440"
"Yucatan","Y/yucatan/","22527"
"Zeppelyn","Z/Z/zeppelyn/","14979"
"Zombie Calavera Prologue","Z/ZO/zombie calavera/","27484"
"Zombie Massacre","Z/ZO/zombie massacre/","26849"
"Zoo Mania","Z/ZO/zoo mania/","19167"
